iter	Passed	Remaining
0	17	5290
1	38	5664
2	57	5681
3	72	5366
4	84	4979
5	94	4654
6	104	4382
7	116	4245
8	126	4093
9	136	3960
10	147	3878
11	158	3812
12	168	3714
13	178	3655
14	188	3574
15	199	3548
16	211	3521
17	221	3473
18	234	3461
19	245	3430
20	256	3410
21	266	3372
22	278	3351
23	287	3309
24	298	3287
25	310	3267
26	322	3259
27	335	3263
28	355	3326
29	376	3391
30	398	3459
31	426	3572
32	444	3596
33	470	3679
34	490	3717
35	508	3726
36	523	3719
37	539	3722
38	558	3737
39	576	3748
40	592	3742
41	607	3730
42	622	3720
43	638	3717
44	654	3707
45	668	3692
46	681	3667
47	694	3644
48	707	3621
49	719	3596
50	730	3566
51	741	3536
52	751	3503
53	760	3466
54	770	3434
55	779	3398
56	789	3365
57	799	3335
58	810	3309
59	824	3298
60	834	3270
61	844	3239
62	855	3219
63	866	3196
64	876	3170
65	888	3151
66	900	3132
67	911	3109
68	923	3091
69	934	3068
70	943	3043
71	955	3025
72	967	3009
73	980	2994
74	990	2972
75	1002	2955
76	1014	2938
77	1025	2918
78	1037	2901
79	1048	2882
80	1057	2859
81	1068	2840
82	1077	2816
83	1087	2795
84	1096	2773
85	1105	2750
86	1115	2730
87	1123	2706
88	1139	2701
89	1155	2696
90	1170	2687
91	1183	2675
92	1196	2663
93	1205	2641
94	1216	2624
95	1225	2605
96	1235	2586
97	1249	2575
98	1259	2556
99	1269	2538
100	1279	2520
101	1287	2498
102	1297	2481
103	1306	2462
104	1315	2443
105	1325	2426
106	1334	2406
107	1344	2389
108	1352	2370
109	1362	2353
110	1371	2335
111	1381	2319
112	1391	2303
113	1401	2286
114	1411	2269
115	1419	2252
116	1429	2236
117	1439	2220
118	1448	2202
119	1458	2187
120	1466	2169
121	1475	2153
122	1484	2135
123	1494	2121
124	1504	2106
125	1513	2089
126	1523	2075
127	1531	2057
128	1542	2045
129	1553	2031
130	1562	2015
131	1572	2001
132	1580	1984
133	1590	1970
134	1599	1955
135	1610	1941
136	1620	1927
137	1629	1912
138	1639	1898
139	1652	1888
140	1661	1873
141	1672	1860
142	1683	1847
143	1692	1834
144	1703	1820
145	1712	1806
146	1722	1792
147	1730	1777
148	1740	1764
149	1750	1750
150	1758	1735
151	1768	1722
152	1776	1707
153	1787	1695
154	1798	1682
155	1806	1667
156	1818	1656
157	1827	1642
158	1837	1629
159	1846	1615
160	1856	1602
161	1865	1589
162	1875	1576
163	1884	1562
164	1893	1548
165	1903	1536
166	1913	1524
167	1923	1511
168	1933	1498
169	1942	1485
170	1952	1472
171	1962	1460
172	1972	1447
173	1982	1435
174	1991	1422
175	2004	1412
176	2015	1400
177	2027	1389
178	2046	1383
179	2063	1375
180	2077	1366
181	2089	1354
182	2101	1343
183	2114	1332
184	2126	1321
185	2137	1310
186	2149	1298
187	2160	1287
188	2172	1275
189	2184	1264
190	2195	1253
191	2207	1241
192	2217	1229
193	2228	1217
194	2240	1206
195	2250	1194
196	2261	1182
197	2270	1169
198	2281	1157
199	2292	1146
200	2302	1133
201	2313	1122
202	2326	1111
203	2336	1099
204	2349	1088
205	2360	1077
206	2372	1066
207	2384	1054
208	2396	1043
209	2408	1032
210	2419	1020
211	2430	1009
212	2450	1000
213	2462	989
214	2475	978
215	2489	968
216	2501	956
217	2512	945
218	2526	934
219	2539	923
220	2551	911
221	2562	900
222	2574	888
223	2586	877
224	2597	865
225	2610	854
226	2623	843
227	2634	832
228	2647	820
229	2658	809
230	2669	797
231	2679	785
232	2691	773
233	2702	762
234	2713	750
235	2723	738
236	2734	726
237	2744	714
238	2755	703
239	2766	691
240	2775	679
241	2785	667
242	2794	655
243	2806	644
244	2817	632
245	2826	620
246	2837	608
247	2848	597
248	2858	585
249	2872	574
250	2885	563
251	2896	551
252	2906	539
253	2916	528
254	2926	516
255	2937	504
256	2948	493
257	2959	481
258	2969	470
259	2980	458
260	2990	446
261	3001	435
262	3012	423
263	3024	412
264	3035	400
265	3048	389
266	3062	378
267	3075	367
268	3086	355
269	3099	344
270	3112	333
271	3123	321
272	3134	309
273	3145	298
274	3155	286
275	3166	275
276	3177	263
277	3189	252
278	3199	240
279	3210	229
280	3221	217
281	3232	206
282	3243	194
283	3256	183
284	3267	171
285	3281	160
286	3296	149
287	3308	137
288	3319	126
289	3330	114
290	3342	103
291	3356	91
292	3366	80
293	3377	68
294	3388	57
295	3398	45
296	3409	34
297	3421	22
298	3431	11
299	3441	0
